year,iso3,country,who_region,latitude,longitude,syndrome,confirmed_cases,deaths,recovered,case_fatality_rate,hospitalized,icu_admissions,human_to_human_cases,mortality_rate_per_100k,total_casos,total_muertes,total_recuperados,promedio_letalidad,años_registrados,decada
2007,PAN,Panama,AMRO,9.0,-79.5,HPS,6,1,5,0.1667,5,1,0,14.29,198,36,162,0.17973333333333333,27,2000
2008,PAN,Panama,AMRO,9.0,-79.5,HPS,8,1,7,0.125,6,3,0,11.11,198,36,162,0.17973333333333333,27,2000
2009,PAN,Panama,AMRO,9.0,-79.5,HPS,8,1,7,0.125,7,2,0,11.11,198,36,162,0.17973333333333333,27,2000
2010,PAN,Panama,AMRO,9.0,-79.5,HPS,7,1,6,0.1429,5,1,0,12.5,198,36,162,0.17973333333333333,27,2010
2011,PAN,Panama,AMRO,9.0,-79.5,HPS,7,1,6,0.1429,6,2,0,12.5,198,36,162,0.17973333333333333,27,2010
2012,PAN,Panama,AMRO,9.0,-79.5,HPS,7,1,6,0.1429,5,2,0,12.5,198,36,162,0.17973333333333333,27,2010
2013,PAN,Panama,AMRO,9.0,-79.5,HPS,5,1,4,0.2,3,1,0,16.67,198,36,162,0.17973333333333333,27,2010
2014,PAN,Panama,AMRO,9.0,-79.5,HPS,6,1,5,0.1667,5,2,0,14.29,198,36,162,0.17973333333333333,27,2010
2015,PAN,Panama,AMRO,9.0,-79.5,HPS,7,2,5,0.2857,5,2,0,25.0,198,36,162,0.17973333333333333,27,2010
2016,PAN,Panama,AMRO,9.0,-79.5,HPS,8,1,7,0.125,6,2,0,11.11,198,36,162,0.17973333333333333,27,2010
2017,PAN,Panama,AMRO,9.0,-79.5,HPS,9,1,8,0.1111,8,3,0,10.0,198,36,162,0.17973333333333333,27,2010
2018,PAN,Panama,AMRO,9.0,-79.5,HPS,8,1,7,0.125,6,2,0,11.11,198,36,162,0.17973333333333333,27,2010
2019,PAN,Panama,AMRO,9.0,-79.5,HPS,5,1,4,0.2,4,2,0,16.67,198,36,162,0.17973333333333333,27,2010
2020,PAN,Panama,AMRO,9.0,-79.5,HPS,7,1,6,0.1429,6,2,0,12.5,198,36,162,0.17973333333333333,27,2020
2021,PAN,Panama,AMRO,9.0,-79.5,HPS,6,1,5,0.1667,5,2,0,14.29,198,36,162,0.17973333333333333,27,2020
2022,PAN,Panama,AMRO,9.0,-79.5,HPS,7,1,6,0.1429,5,2,0,12.5,198,36,162,0.17973333333333333,27,2020
2023,PAN,Panama,AMRO,9.0,-79.5,HPS,7,1,6,0.1429,6,1,0,12.5,198,36,162,0.17973333333333333,27,2020
2024,PAN,Panama,AMRO,9.0,-79.5,HPS,10,2,8,0.2,7,2,0,18.18,198,36,162,0.17973333333333333,27,2020
2025,PAN,Panama,AMRO,9.0,-79.5,HPS,10,3,7,0.3,9,3,0,27.27,198,36,162,0.17973333333333333,27,2020
1993,USA,United States,AMRO,38.9,-77.0,HPS,32,9,23,0.2812,25,12,0,27.27,1089,385,704,0.3507575757575757,33,1990
1994,USA,United States,AMRO,38.9,-77.0,HPS,24,6,18,0.25,18,4,0,24.0,1089,385,704,0.3507575757575757,33,1990
1995,USA,United States,AMRO,38.9,-77.0,HPS,28,10,18,0.3571,23,11,0,34.48,1089,385,704,0.3507575757575757,33,1990
1996,USA,United States,AMRO,38.9,-77.0,HPS,37,12,25,0.3243,29,10,0,31.58,1089,385,704,0.3507575757575757,33,1990
1997,USA,United States,AMRO,38.9,-77.0,HPS,29,8,21,0.2759,25,9,0,26.67,1089,385,704,0.3507575757575757,33,1990
1998,USA,United States,AMRO,38.9,-77.0,HPS,26,9,17,0.3462,21,11,0,33.33,1089,385,704,0.3507575757575757,33,1990
1999,USA,United States,AMRO,38.9,-77.0,HPS,30,8,22,0.2667,27,10,0,25.81,1089,385,704,0.3507575757575757,33,1990
2000,USA,United States,AMRO,38.9,-77.0,HPS,37,15,22,0.4054,30,7,0,39.47,1089,385,704,0.3507575757575757,33,2000
2001,USA,United States,AMRO,38.9,-77.0,HPS,30,11,19,0.3667,26,8,0,35.48,1089,385,704,0.3507575757575757,33,2000
2002,USA,United States,AMRO,38.9,-77.0,HPS,29,12,17,0.4138,27,11,0,40.0,1089,385,704,0.3507575757575757,33,2000
2003,USA,United States,AMRO,38.9,-77.0,HPS,28,8,20,0.2857,21,11,0,27.59,1089,385,704,0.3507575757575757,33,2000
2004,USA,United States,AMRO,38.9,-77.0,HPS,24,9,15,0.375,19,7,0,36.0,1089,385,704,0.3507575757575757,33,2000
2005,USA,United States,AMRO,38.9,-77.0,HPS,30,12,18,0.4,23,5,0,38.71,1089,385,704,0.3507575757575757,33,2000
2006,USA,United States,AMRO,38.9,-77.0,HPS,23,10,13,0.4348,21,9,0,41.67,1089,385,704,0.3507575757575757,33,2000
2007,USA,United States,AMRO,38.9,-77.0,HPS,34,13,21,0.3824,26,13,0,37.14,1089,385,704,0.3507575757575757,33,2000
2008,USA,United States,AMRO,38.9,-77.0,HPS,35,11,24,0.3143,29,7,0,30.56,1089,385,704,0.3507575757575757,33,2000
2009,USA,United States,AMRO,38.9,-77.0,HPS,31,12,19,0.3871,23,9,0,37.5,1089,385,704,0.3507575757575757,33,2000
2010,USA,United States,AMRO,38.9,-77.0,HPS,31,10,21,0.3226,25,8,0,31.25,1089,385,704,0.3507575757575757,33,2010
2011,USA,United States,AMRO,38.9,-77.0,HPS,35,11,24,0.3143,30,11,0,30.56,1089,385,704,0.3507575757575757,33,2010
2012,USA,United States,AMRO,38.9,-77.0,HPS,31,14,17,0.4516,27,8,0,43.75,1089,385,704,0.3507575757575757,33,2010
2013,USA,United States,AMRO,38.9,-77.0,HPS,22,6,16,0.2727,19,5,0,26.09,1089,385,704,0.3507575757575757,33,2010
2014,USA,United States,AMRO,38.9,-77.0,HPS,34,12,22,0.3529,27,12,0,34.29,1089,385,704,0.3507575757575757,33,2010
2015,USA,United States,AMRO,38.9,-77.0,HPS,31,8,23,0.2581,27,10,0,25.0,1089,385,704,0.3507575757575757,33,2010
2016,USA,United States,AMRO,38.9,-77.0,HPS,43,14,29,0.3256,34,16,0,31.82,1089,385,704,0.3507575757575757,33,2010
2017,USA,United States,AMRO,38.9,-77.0,HPS,43,17,26,0.3953,34,14,0,38.64,1089,385,704,0.3507575757575757,33,2010
2018,USA,United States,AMRO,38.9,-77.0,HPS,30,8,22,0.2667,28,8,0,25.81,1089,385,704,0.3507575757575757,33,2010
2019,USA,United States,AMRO,38.9,-77.0,HPS,36,12,24,0.3333,28,11,0,32.43,1089,385,704,0.3507575757575757,33,2010
2020,USA,United States,AMRO,38.9,-77.0,HPS,37,15,22,0.4054,33,14,0,39.47,1089,385,704,0.3507575757575757,33,2020
2021,USA,United States,AMRO,38.9,-77.0,HPS,39,16,23,0.4103,31,12,0,40.0,1089,385,704,0.3507575757575757,33,2020
2022,USA,United States,AMRO,38.9,-77.0,HPS,35,16,19,0.4571,32,8,0,44.44,1089,385,704,0.3507575757575757,33,2020
2023,USA,United States,AMRO,38.9,-77.0,HPS,46,20,26,0.4348,36,15,0,42.55,1089,385,704,0.3507575757575757,33,2020
2024,USA,United States,AMRO,38.9,-77.0,HPS,47,12,35,0.2553,41,13,0,25.0,1089,385,704,0.3507575757575757,33,2020
2025,USA,United States,AMRO,38.9,-77.0,HPS,42,19,23,0.4524,39,15,0,44.19,1089,385,704,0.3507575757575757,33,2020
1994,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,1990
1995,CAN,Canada,AMRO,45.4,-75.7,HPS,3,1,2,0.3333,2,0,0,25.0,114,22,92,0.17968125,32,1990
1996,CAN,Canada,AMRO,45.4,-75.7,HPS,3,1,2,0.3333,2,0,0,25.0,114,22,92,0.17968125,32,1990
1997,CAN,Canada,AMRO,45.4,-75.7,HPS,2,0,2,0.0,1,0,0,0.0,114,22,92,0.17968125,32,1990
1998,CAN,Canada,AMRO,45.4,-75.7,HPS,2,0,2,0.0,1,0,0,0.0,114,22,92,0.17968125,32,1990
1999,CAN,Canada,AMRO,45.4,-75.7,HPS,2,0,2,0.0,1,0,0,0.0,114,22,92,0.17968125,32,1990
2000,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2000
2001,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2000
2002,CAN,Canada,AMRO,45.4,-75.7,HPS,3,1,2,0.3333,2,1,0,25.0,114,22,92,0.17968125,32,2000
2003,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2000
2004,CAN,Canada,AMRO,45.4,-75.7,HPS,3,0,3,0.0,2,0,0,0.0,114,22,92,0.17968125,32,2000
2005,CAN,Canada,AMRO,45.4,-75.7,HPS,2,0,2,0.0,1,0,0,0.0,114,22,92,0.17968125,32,2000
2006,CAN,Canada,AMRO,45.4,-75.7,HPS,3,0,3,0.0,2,0,0,0.0,114,22,92,0.17968125,32,2000
2007,CAN,Canada,AMRO,45.4,-75.7,HPS,3,1,2,0.3333,2,0,0,25.0,114,22,92,0.17968125,32,2000
2008,CAN,Canada,AMRO,45.4,-75.7,HPS,3,1,2,0.3333,2,0,0,25.0,114,22,92,0.17968125,32,2000
2009,CAN,Canada,AMRO,45.4,-75.7,HPS,5,1,4,0.2,4,1,0,16.67,114,22,92,0.17968125,32,2000
2010,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2010
2011,CAN,Canada,AMRO,45.4,-75.7,HPS,3,0,3,0.0,2,0,0,0.0,114,22,92,0.17968125,32,2010
2012,CAN,Canada,AMRO,45.4,-75.7,HPS,3,0,3,0.0,2,1,0,0.0,114,22,92,0.17968125,32,2010
2013,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,0,0,20.0,114,22,92,0.17968125,32,2010
2014,CAN,Canada,AMRO,45.4,-75.7,HPS,3,1,2,0.3333,2,0,0,25.0,114,22,92,0.17968125,32,2010
2015,CAN,Canada,AMRO,45.4,-75.7,HPS,5,1,4,0.2,3,1,0,16.67,114,22,92,0.17968125,32,2010
2016,CAN,Canada,AMRO,45.4,-75.7,HPS,5,1,4,0.2,3,1,0,16.67,114,22,92,0.17968125,32,2010
2017,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2010
2018,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2010
2019,CAN,Canada,AMRO,45.4,-75.7,HPS,3,0,3,0.0,2,0,0,0.0,114,22,92,0.17968125,32,2010
2020,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,0,0,20.0,114,22,92,0.17968125,32,2020
2021,CAN,Canada,AMRO,45.4,-75.7,HPS,4,0,4,0.0,3,1,0,0.0,114,22,92,0.17968125,32,2020
2022,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2020
2023,CAN,Canada,AMRO,45.4,-75.7,HPS,5,1,4,0.2,4,2,0,16.67,114,22,92,0.17968125,32,2020
2024,CAN,Canada,AMRO,45.4,-75.7,HPS,5,1,4,0.2,4,2,0,16.67,114,22,92,0.17968125,32,2020
2025,CAN,Canada,AMRO,45.4,-75.7,HPS,4,1,3,0.25,3,1,0,20.0,114,22,92,0.17968125,32,2020
1950,CHN,China,WPRO,39.9,116.4,HFRS,11220,387,10833,0.0345,8770,4510,0,3.45,1177156,35685,1141471,0.03018552631578947,76,1950
1951,CHN,China,WPRO,39.9,116.4,HFRS,14344,308,14036,0.0215,13127,3789,0,2.15,1177156,35685,1141471,0.03018552631578947,76,1950
1952,CHN,China,WPRO,39.9,116.4,HFRS,12498,429,12069,0.0343,9775,4842,0,3.43,1177156,35685,1141471,0.03018552631578947,76,1950
1953,CHN,China,WPRO,39.9,116.4,HFRS,16422,494,15928,0.0301,12337,4146,0,3.01,1177156,35685,1141471,0.03018552631578947,76,1950
1954,CHN,China,WPRO,39.9,116.4,HFRS,13960,539,13421,0.0386,12234,4012,0,3.86,1177156,35685,1141471,0.03018552631578947,76,1950
1955,CHN,China,WPRO,39.9,116.4,HFRS,12448,382,12066,0.0307,11277,3181,0,3.07,1177156,35685,1141471,0.03018552631578947,76,1950
1956,CHN,China,WPRO,39.9,116.4,HFRS,12137,373,11764,0.0307,11440,4033,0,3.07,1177156,35685,1141471,0.03018552631578947,76,1950
1957,CHN,China,WPRO,39.9,116.4,HFRS,11926,450,11476,0.0377,9189,4880,0,3.77,1177156,35685,1141471,0.03018552631578947,76,1950
1958,CHN,China,WPRO,39.9,116.4,HFRS,13967,310,13657,0.0222,11315,5232,0,2.22,1177156,35685,1141471,0.03018552631578947,76,1950
1959,CHN,China,WPRO,39.9,116.4,HFRS,11262,354,10908,0.0314,9225,4024,0,3.14,1177156,35685,1141471,0.03018552631578947,76,1950
1960,CHN,China,WPRO,39.9,116.4,HFRS,11480,421,11059,0.0367,10845,5863,0,3.67,1177156,35685,1141471,0.03018552631578947,76,1960
1961,CHN,China,WPRO,39.9,116.4,HFRS,15640,365,15275,0.0233,14101,3629,0,2.33,1177156,35685,1141471,0.03018552631578947,76,1960
1962,CHN,China,WPRO,39.9,116.4,HFRS,9358,251,9107,0.0268,7933,3816,0,2.68,1177156,35685,1141471,0.03018552631578947,76,1960
1963,CHN,China,WPRO,39.9,116.4,HFRS,12346,358,11988,0.029,9935,5455,0,2.9,1177156,35685,1141471,0.03018552631578947,76,1960
1964,CHN,China,WPRO,39.9,116.4,HFRS,11344,330,11014,0.0291,8879,4336,0,2.91,1177156,35685,1141471,0.03018552631578947,76,1960
1965,CHN,China,WPRO,39.9,116.4,HFRS,14741,368,14373,0.025,11298,5130,0,2.5,1177156,35685,1141471,0.03018552631578947,76,1960
1966,CHN,China,WPRO,39.9,116.4,HFRS,16291,422,15869,0.0259,15316,4523,0,2.59,1177156,35685,1141471,0.03018552631578947,76,1960
1967,CHN,China,WPRO,39.9,116.4,HFRS,15096,573,14523,0.038,12589,5558,0,3.8,1177156,35685,1141471,0.03018552631578947,76,1960
1968,CHN,China,WPRO,39.9,116.4,HFRS,13872,359,13513,0.0259,13133,4895,0,2.59,1177156,35685,1141471,0.03018552631578947,76,1960
1969,CHN,China,WPRO,39.9,116.4,HFRS,15470,388,15082,0.0251,12261,3179,0,2.51,1177156,35685,1141471,0.03018552631578947,76,1960
1970,CHN,China,WPRO,39.9,116.4,HFRS,12785,353,12432,0.0276,11798,4624,0,2.76,1177156,35685,1141471,0.03018552631578947,76,1970
1971,CHN,China,WPRO,39.9,116.4,HFRS,15268,371,14897,0.0243,14103,6811,0,2.43,1177156,35685,1141471,0.03018552631578947,76,1970
1972,CHN,China,WPRO,39.9,116.4,HFRS,16023,580,15443,0.0362,14456,6329,0,3.62,1177156,35685,1141471,0.03018552631578947,76,1970
1973,CHN,China,WPRO,39.9,116.4,HFRS,12947,279,12668,0.0215,12094,5260,0,2.15,1177156,35685,1141471,0.03018552631578947,76,1970
1974,CHN,China,WPRO,39.9,116.4,HFRS,18825,558,18267,0.0296,14560,4186,0,2.96,1177156,35685,1141471,0.03018552631578947,76,1970
1975,CHN,China,WPRO,39.9,116.4,HFRS,16760,481,16279,0.0287,13242,5263,0,2.87,1177156,35685,1141471,0.03018552631578947,76,1970
1976,CHN,China,WPRO,39.9,116.4,HFRS,10599,333,10266,0.0314,8519,4168,0,3.14,1177156,35685,1141471,0.03018552631578947,76,1970
1977,CHN,China,WPRO,39.9,116.4,HFRS,11276,329,10947,0.0292,8483,2305,0,2.92,1177156,35685,1141471,0.03018552631578947,76,1970
1978,CHN,China,WPRO,39.9,116.4,HFRS,12268,363,11905,0.0296,10673,3602,0,2.96,1177156,35685,1141471,0.03018552631578947,76,1970
1979,CHN,China,WPRO,39.9,116.4,HFRS,16225,591,15634,0.0364,14699,3849,0,3.64,1177156,35685,1141471,0.03018552631578947,76,1970
1980,CHN,China,WPRO,39.9,116.4,HFRS,16462,376,16086,0.0228,13143,7176,0,2.28,1177156,35685,1141471,0.03018552631578947,76,1980
1981,CHN,China,WPRO,39.9,116.4,HFRS,14097,422,13675,0.0299,12315,5674,0,2.99,1177156,35685,1141471,0.03018552631578947,76,1980
1982,CHN,China,WPRO,39.9,116.4,HFRS,16530,350,16180,0.0212,13476,5462,0,2.12,1177156,35685,1141471,0.03018552631578947,76,1980
1983,CHN,China,WPRO,39.9,116.4,HFRS,11257,307,10950,0.0273,8517,2330,0,2.73,1177156,35685,1141471,0.03018552631578947,76,1980
1984,CHN,China,WPRO,39.9,116.4,HFRS,12359,289,12070,0.0234,10672,4875,0,2.34,1177156,35685,1141471,0.03018552631578947,76,1980
1985,CHN,China,WPRO,39.9,116.4,HFRS,15595,383,15212,0.0246,12218,3437,0,2.46,1177156,35685,1141471,0.03018552631578947,76,1980
1986,CHN,China,WPRO,39.9,116.4,HFRS,16510,556,15954,0.0337,12486,6628,0,3.37,1177156,35685,1141471,0.03018552631578947,76,1980
1987,CHN,China,WPRO,39.9,116.4,HFRS,13482,414,13068,0.0307,12023,6147,0,3.07,1177156,35685,1141471,0.03018552631578947,76,1980
1988,CHN,China,WPRO,39.9,116.4,HFRS,19855,703,19152,0.0354,16239,8029,0,3.54,1177156,35685,1141471,0.03018552631578947,76,1980
1989,CHN,China,WPRO,39.9,116.4,HFRS,13247,491,12756,0.0371,11386,5638,0,3.71,1177156,35685,1141471,0.03018552631578947,76,1980
1990,CHN,China,WPRO,39.9,116.4,HFRS,14455,471,13984,0.0326,12363,5804,0,3.26,1177156,35685,1141471,0.03018552631578947,76,1990
1991,CHN,China,WPRO,39.9,116.4,HFRS,10759,237,10522,0.022,8600,2561,0,2.2,1177156,35685,1141471,0.03018552631578947,76,1990
1992,CHN,China,WPRO,39.9,116.4,HFRS,16781,418,16363,0.0249,15860,5567,0,2.49,1177156,35685,1141471,0.03018552631578947,76,1990
1993,CHN,China,WPRO,39.9,116.4,HFRS,13564,477,13087,0.0352,11959,4777,0,3.52,1177156,35685,1141471,0.03018552631578947,76,1990
1994,CHN,China,WPRO,39.9,116.4,HFRS,18627,632,17995,0.0339,14821,8135,0,3.39,1177156,35685,1141471,0.03018552631578947,76,1990
1995,CHN,China,WPRO,39.9,116.4,HFRS,23146,757,22389,0.0327,18283,8301,0,3.27,1177156,35685,1141471,0.03018552631578947,76,1990
1996,CHN,China,WPRO,39.9,116.4,HFRS,13744,296,13448,0.0215,11016,4282,0,2.15,1177156,35685,1141471,0.03018552631578947,76,1990
1997,CHN,China,WPRO,39.9,116.4,HFRS,18279,623,17656,0.0341,16424,6202,0,3.41,1177156,35685,1141471,0.03018552631578947,76,1990
1998,CHN,China,WPRO,39.9,116.4,HFRS,13086,362,12724,0.0277,12399,3248,0,2.77,1177156,35685,1141471,0.03018552631578947,76,1990
1999,CHN,China,WPRO,39.9,116.4,HFRS,17450,548,16902,0.0314,14618,6835,0,3.14,1177156,35685,1141471,0.03018552631578947,76,1990
2000,CHN,China,WPRO,39.9,116.4,HFRS,16688,612,16076,0.0367,15522,5844,0,3.67,1177156,35685,1141471,0.03018552631578947,76,2000
2001,CHN,China,WPRO,39.9,116.4,HFRS,16770,530,16240,0.0316,15637,4897,0,3.16,1177156,35685,1141471,0.03018552631578947,76,2000
2002,CHN,China,WPRO,39.9,116.4,HFRS,20673,669,20004,0.0324,18535,5365,0,3.24,1177156,35685,1141471,0.03018552631578947,76,2000
2003,CHN,China,WPRO,39.9,116.4,HFRS,20164,753,19411,0.0373,15847,5091,0,3.73,1177156,35685,1141471,0.03018552631578947,76,2000
2004,CHN,China,WPRO,39.9,116.4,HFRS,19851,481,19370,0.0242,18280,7269,0,2.42,1177156,35685,1141471,0.03018552631578947,76,2000
2005,CHN,China,WPRO,39.9,116.4,HFRS,12887,472,12415,0.0366,10812,4372,0,3.66,1177156,35685,1141471,0.03018552631578947,76,2000
2006,CHN,China,WPRO,39.9,116.4,HFRS,14258,451,13807,0.0316,11159,4098,0,3.16,1177156,35685,1141471,0.03018552631578947,76,2000
2007,CHN,China,WPRO,39.9,116.4,HFRS,21572,553,21019,0.0256,19012,6607,0,2.56,1177156,35685,1141471,0.03018552631578947,76,2000
2008,CHN,China,WPRO,39.9,116.4,HFRS,22311,521,21790,0.0234,21060,8132,0,2.34,1177156,35685,1141471,0.03018552631578947,76,2000
2009,CHN,China,WPRO,39.9,116.4,HFRS,17574,392,17182,0.0223,13777,5592,0,2.23,1177156,35685,1141471,0.03018552631578947,76,2000
2010,CHN,China,WPRO,39.9,116.4,HFRS,17373,624,16749,0.0359,14526,4715,0,3.59,1177156,35685,1141471,0.03018552631578947,76,2010
2011,CHN,China,WPRO,39.9,116.4,HFRS,17670,595,17075,0.0337,13842,4156,0,3.37,1177156,35685,1141471,0.03018552631578947,76,2010
2012,CHN,China,WPRO,39.9,116.4,HFRS,11775,403,11372,0.0342,10394,4078,0,3.42,1177156,35685,1141471,0.03018552631578947,76,2010
2013,CHN,China,WPRO,39.9,116.4,HFRS,18672,662,18010,0.0355,16189,8264,0,3.55,1177156,35685,1141471,0.03018552631578947,76,2010
2014,CHN,China,WPRO,39.9,116.4,HFRS,15474,356,15118,0.023,12440,3323,0,2.3,1177156,35685,1141471,0.03018552631578947,76,2010
2015,CHN,China,WPRO,39.9,116.4,HFRS,20696,783,19913,0.0378,15684,4495,0,3.78,1177156,35685,1141471,0.03018552631578947,76,2010
2016,CHN,China,WPRO,39.9,116.4,HFRS,20514,775,19739,0.0378,16682,6709,0,3.78,1177156,35685,1141471,0.03018552631578947,76,2010
2017,CHN,China,WPRO,39.9,116.4,HFRS,15131,358,14773,0.0237,14333,7733,0,2.37,1177156,35685,1141471,0.03018552631578947,76,2010
2018,CHN,China,WPRO,39.9,116.4,HFRS,13034,497,12537,0.0381,11441,5839,0,3.81,1177156,35685,1141471,0.03018552631578947,76,2010
2019,CHN,China,WPRO,39.9,116.4,HFRS,15540,470,15070,0.0302,13174,5929,0,3.02,1177156,35685,1141471,0.03018552631578947,76,2010
2020,CHN,China,WPRO,39.9,116.4,HFRS,13546,291,13255,0.0215,10993,5072,0,2.15,1177156,35685,1141471,0.03018552631578947,76,2020
2021,CHN,China,WPRO,39.9,116.4,HFRS,16010,530,15480,0.0331,15113,4203,0,3.31,1177156,35685,1141471,0.03018552631578947,76,2020
2022,CHN,China,WPRO,39.9,116.4,HFRS,22952,665,22287,0.029,21199,6426,0,2.9,1177156,35685,1141471,0.03018552631578947,76,2020
2023,CHN,China,WPRO,39.9,116.4,HFRS,23885,861,23024,0.036,22426,10203,0,3.6,1177156,35685,1141471,0.03018552631578947,76,2020
2024,CHN,China,WPRO,39.9,116.4,HFRS,20318,652,19666,0.0321,18769,7905,0,3.21,1177156,35685,1141471,0.03018552631578947,76,2020
2025,CHN,China,WPRO,39.9,116.4,HFRS,13735,518,13217,0.0377,12195,5523,0,3.77,1177156,35685,1141471,0.03018552631578947,76,2020
1951,KOR,South Korea,WPRO,37.6,127.0,HFRS,343,18,325,0.0525,284,126,0,5.23,38537,1905,36632,0.04958933333333333,75,1950
1952,KOR,South Korea,WPRO,37.6,127.0,HFRS,361,19,342,0.0526,342,90,0,5.25,38537,1905,36632,0.04958933333333333,75,1950
1953,KOR,South Korea,WPRO,37.6,127.0,HFRS,575,27,548,0.047,531,257,0,4.69,38537,1905,36632,0.04958933333333333,75,1950
1954,KOR,South Korea,WPRO,37.6,127.0,HFRS,450,25,425,0.0556,416,154,0,5.54,38537,1905,36632,0.04958933333333333,75,1950
1955,KOR,South Korea,WPRO,37.6,127.0,HFRS,351,19,332,0.0541,319,152,0,5.4,38537,1905,36632,0.04958933333333333,75,1950
1956,KOR,South Korea,WPRO,37.6,127.0,HFRS,407,19,388,0.0467,371,106,0,4.66,38537,1905,36632,0.04958933333333333,75,1950
1957,KOR,South Korea,WPRO,37.6,127.0,HFRS,378,13,365,0.0344,308,110,0,3.43,38537,1905,36632,0.04958933333333333,75,1950
1958,KOR,South Korea,WPRO,37.6,127.0,HFRS,400,22,378,0.055,331,127,0,5.49,38537,1905,36632,0.04958933333333333,75,1950
1959,KOR,South Korea,WPRO,37.6,127.0,HFRS,412,19,393,0.0461,327,88,0,4.6,38537,1905,36632,0.04958933333333333,75,1950
1960,KOR,South Korea,WPRO,37.6,127.0,HFRS,516,28,488,0.0543,450,175,0,5.42,38537,1905,36632,0.04958933333333333,75,1960
1961,KOR,South Korea,WPRO,37.6,127.0,HFRS,432,26,406,0.0602,368,144,0,6.0,38537,1905,36632,0.04958933333333333,75,1960
1962,KOR,South Korea,WPRO,37.6,127.0,HFRS,309,13,296,0.0421,255,94,0,4.19,38537,1905,36632,0.04958933333333333,75,1960
1963,KOR,South Korea,WPRO,37.6,127.0,HFRS,388,19,369,0.049,338,162,0,4.88,38537,1905,36632,0.04958933333333333,75,1960
1964,KOR,South Korea,WPRO,37.6,127.0,HFRS,449,25,424,0.0557,422,107,0,5.56,38537,1905,36632,0.04958933333333333,75,1960
1965,KOR,South Korea,WPRO,37.6,127.0,HFRS,376,13,363,0.0346,330,171,0,3.45,38537,1905,36632,0.04958933333333333,75,1960
1966,KOR,South Korea,WPRO,37.6,127.0,HFRS,435,27,408,0.0621,331,175,0,6.19,38537,1905,36632,0.04958933333333333,75,1960
1967,KOR,South Korea,WPRO,37.6,127.0,HFRS,478,18,460,0.0377,404,132,0,3.76,38537,1905,36632,0.04958933333333333,75,1960
1968,KOR,South Korea,WPRO,37.6,127.0,HFRS,431,19,412,0.0441,392,161,0,4.4,38537,1905,36632,0.04958933333333333,75,1960
1969,KOR,South Korea,WPRO,37.6,127.0,HFRS,386,20,366,0.0518,344,114,0,5.17,38537,1905,36632,0.04958933333333333,75,1960
1970,KOR,South Korea,WPRO,37.6,127.0,HFRS,376,14,362,0.0372,295,134,0,3.71,38537,1905,36632,0.04958933333333333,75,1970
1971,KOR,South Korea,WPRO,37.6,127.0,HFRS,343,17,326,0.0496,305,86,0,4.94,38537,1905,36632,0.04958933333333333,75,1970
1972,KOR,South Korea,WPRO,37.6,127.0,HFRS,482,20,462,0.0415,454,179,0,4.14,38537,1905,36632,0.04958933333333333,75,1970
1973,KOR,South Korea,WPRO,37.6,127.0,HFRS,605,31,574,0.0512,459,201,0,5.12,38537,1905,36632,0.04958933333333333,75,1970
1974,KOR,South Korea,WPRO,37.6,127.0,HFRS,664,35,629,0.0527,606,312,0,5.26,38537,1905,36632,0.04958933333333333,75,1970
1975,KOR,South Korea,WPRO,37.6,127.0,HFRS,438,18,420,0.0411,382,142,0,4.1,38537,1905,36632,0.04958933333333333,75,1970
1976,KOR,South Korea,WPRO,37.6,127.0,HFRS,524,32,492,0.0611,430,138,0,6.1,38537,1905,36632,0.04958933333333333,75,1970
1977,KOR,South Korea,WPRO,37.6,127.0,HFRS,469,20,449,0.0426,428,161,0,4.26,38537,1905,36632,0.04958933333333333,75,1970
1978,KOR,South Korea,WPRO,37.6,127.0,HFRS,464,17,447,0.0366,405,156,0,3.66,38537,1905,36632,0.04958933333333333,75,1970
1979,KOR,South Korea,WPRO,37.6,127.0,HFRS,510,20,490,0.0392,457,232,0,3.91,38537,1905,36632,0.04958933333333333,75,1970
1980,KOR,South Korea,WPRO,37.6,127.0,HFRS,472,17,455,0.036,356,157,0,3.59,38537,1905,36632,0.04958933333333333,75,1980
1981,KOR,South Korea,WPRO,37.6,127.0,HFRS,598,30,568,0.0502,476,174,0,5.01,38537,1905,36632,0.04958933333333333,75,1980
